order,phase,filename,local_path,source_url,status
1,00 orientation/research methods,quantitative_research_methods.pdf,00_orientation_research_methods/quantitative_research_methods.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/quantitative_research_methods.pdf,copied
2,01 numerical and mathematical foundations,numerical_methods_quantitative_finance.pdf,01_numerical_mathematical_foundations/numerical_methods_quantitative_finance.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/numerical_methods_quantitative_finance.pdf,copied
3,01 numerical and mathematical foundations,market based portfolio variance.pdf,01_numerical_mathematical_foundations/market based portfolio variance.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/market%20based%20portfolio%20variance.pdf,copied
4,02 portfolio risk and optimization,Minimum_variance_portfolio_construction.pdf,02_portfolio_risk_optimization/Minimum_variance_portfolio_construction.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Minimum_variance_portfolio_construction.pdf,copied
5,02 portfolio risk and optimization,Indian_portfolio_optimization.pdf,02_portfolio_risk_optimization/Indian_portfolio_optimization.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Indian_portfolio_optimization.pdf,copied
6,02 portfolio risk and optimization,portfolio optimisation in python.pdf,02_portfolio_risk_optimization/portfolio optimisation in python.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/portfolio%20optimisation%20in%20python.pdf,copied
7,02 portfolio risk and optimization,Portfolio_construction_black_litterman_model.pdf,02_portfolio_risk_optimization/Portfolio_construction_black_litterman_model.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Portfolio_construction_black_litterman_model.pdf,copied
8,02 portfolio risk and optimization,Asset_allocation_using_stochastic_linear_programming.pdf,02_portfolio_risk_optimization/Asset_allocation_using_stochastic_linear_programming.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Asset_allocation_using_stochastic_linear_programming.pdf,copied
9,03 asset allocation and portfolio management,quantitative_multi_asset_portfolio_management.pdf,03_asset_allocation_portfolio_management/quantitative_multi_asset_portfolio_management.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/quantitative_multi_asset_portfolio_management.pdf,copied
10,03 asset allocation and portfolio management,when-to-efficiently-rebalance-a-portfolio-xfla299ttj.pdf,03_asset_allocation_portfolio_management/when-to-efficiently-rebalance-a-portfolio-xfla299ttj.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/when-to-efficiently-rebalance-a-portfolio-xfla299ttj.pdf,copied
11,04 empirical research and trading signals,the_cross-section_of_expected_stock_returns.pdf,04_empirical_research_trading_signals/the_cross-section_of_expected_stock_returns.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/the_cross-section_of_expected_stock_returns.pdf,copied
12,04 empirical research and trading signals,Quant_analysis_pricemomentum_indianmarkets.pdf,04_empirical_research_trading_signals/Quant_analysis_pricemomentum_indianmarkets.pdf,https://github.com/priyanshupriyank04/Quant_Research_papers/blob/main/Quant_analysis_pricemomentum_indianmarkets.pdf,copied
